2022-08-02 05:48:03 startup archives unpack
2022-08-02 05:48:03 install openssl:amd64 <none> 1.1.1n-0+deb11u3
2022-08-02 05:48:03 status half-installed openssl:amd64 1.1.1n-0+deb11u3
2022-08-02 05:48:03 status unpacked openssl:amd64 1.1.1n-0+deb11u3
2022-08-02 05:48:03 install ca-certificates:all <none> 20210119
2022-08-02 05:48:03 status half-installed ca-certificates:all 20210119
2022-08-02 05:48:03 status unpacked ca-certificates:all 20210119
2022-08-02 05:48:03 install p11-kit-modules:amd64 <none> 0.23.22-1
2022-08-02 05:48:03 status half-installed p11-kit-modules:amd64 0.23.22-1
2022-08-02 05:48:03 status unpacked p11-kit-modules:amd64 0.23.22-1
2022-08-02 05:48:03 install p11-kit:amd64 <none> 0.23.22-1
2022-08-02 05:48:03 status half-installed p11-kit:amd64 0.23.22-1
2022-08-02 05:48:03 status unpacked p11-kit:amd64 0.23.22-1
2022-08-02 05:48:03 startup packages configure
2022-08-02 05:48:03 configure p11-kit-modules:amd64 0.23.22-1 <none>
2022-08-02 05:48:03 status unpacked p11-kit-modules:amd64 0.23.22-1
2022-08-02 05:48:03 status half-configured p11-kit-modules:amd64 0.23.22-1
2022-08-02 05:48:03 status installed p11-kit-modules:amd64 0.23.22-1
2022-08-02 05:48:03 configure p11-kit:amd64 0.23.22-1 <none>
2022-08-02 05:48:03 status unpacked p11-kit:amd64 0.23.22-1
2022-08-02 05:48:03 status half-configured p11-kit:amd64 0.23.22-1
2022-08-02 05:48:03 status installed p11-kit:amd64 0.23.22-1
2022-08-02 05:48:03 configure openssl:amd64 1.1.1n-0+deb11u3 <none>
2022-08-02 05:48:03 status unpacked openssl:amd64 1.1.1n-0+deb11u3
2022-08-02 05:48:03 status half-configured openssl:amd64 1.1.1n-0+deb11u3
2022-08-02 05:48:03 status installed openssl:amd64 1.1.1n-0+deb11u3
2022-08-02 05:48:03 configure ca-certificates:all 20210119 <none>
2022-08-02 05:48:03 status unpacked ca-certificates:all 20210119
2022-08-02 05:48:03 status half-configured ca-certificates:all 20210119
2022-08-02 05:48:04 status installed ca-certificates:all 20210119
2022-08-02 05:48:04 status triggers-pending ca-certificates:all 20210119
2022-08-02 05:48:04 trigproc ca-certificates:all 20210119 <none>
2022-08-02 05:48:04 status half-configured ca-certificates:all 20210119
2022-08-02 05:48:05 status installed ca-certificates:all 20210119
2022-08-02 05:53:50 startup archives unpack
2022-08-02 05:53:50 install readline-common:all <none> 8.1-1
2022-08-02 05:53:50 status half-installed readline-common:all 8.1-1
2022-08-02 05:53:50 status unpacked readline-common:all 8.1-1
2022-08-02 05:53:50 install libreadline8:amd64 <none> 8.1-1
